Title Name,Genres,Rating,Duration,Aired,Metascore,IMDb,MyRate
Унесённые призраками,"['Anime', 'Adventure', 'Family', 'Fantasy', 'Mystery']",12+,125,31 December 2002,96.0,8.6,
Король лев 1,"['Adventure', 'Drama', 'Family', 'Musical']",0+,88,20 January 1995,88.0,8.5,
Могила светлячков,"['Anime', 'Drama', 'War']",,89,16 April 1988,94.0,8.5,
Твое имя,"['Anime', 'Drama', 'Fantasy', 'Romance']",12+,106,7 September 2017,79.0,8.4,
Человек-паук: Через Вселенные,"['Action', 'Adventure', 'Family', 'Sci-Fi']",6+,117,13 December 2018,87.0,8.4,
Тайна Коко,"['Adventure', 'Family', 'Fantasy', 'Music', 'Mystery']",12+,105,23 November 2017,81.0,8.4,
ВАЛЛ-И,"['Adventure', 'Family', 'Sci-Fi']",0+,98,3 July 2008,95.0,8.4,
Принцесса Мононоке,"['Anime', 'Adventure', 'Fantasy']",12+,134,24 June 2010,76.0,8.4,
История игрушек 3,"['Adventure', 'Comedy', 'Family', 'Fantasy']",0+,103,17 June 2010,92.0,8.3,
История игрушек,"['Adventure', 'Comedy', 'Family', 'Fantasy']",6+,81,22 December 1995,95.0,8.3,
Форма голоса,"['Anime', 'Drama', 'Family', 'Romance']",12+,130,17 September 2016,78.0,8.2,
Клаус,"['Adventure', 'Comedy', 'Family']",PG,96,15 November 2019,65.0,8.2,
Вверх,"['Adventure', 'Comedy', 'Family']",0+,96,28 May 2009,88.0,8.2,
Ходячий замок,"['Anime', 'Adventure', 'Family', 'Fantasy']",12+,119,27 August 2005,80.0,8.2,
Мой сосед Тоторо,"['Anime', 'Family', 'Fantasy']",0+,86,16 April 1988,86.0,8.2,
Волчьи дети Амэ и Юки,"['Anime', 'Drama', 'Family', 'Fantasy']",12+,117,21 July 2012,71.0,8.1,
Головоломка,"['Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']",6+,95,18 June 2015,94.0,8.1,
Песнь моря,"['Adventure', 'Drama', 'Family', 'Fantasy']",PG,93,27 August 2015,85.0,8.1,
Мэри и Макс,"['Comedy', 'Drama', 'Family']",,92,3 December 2009,,8.1,
Как приручить дракона,"['Action', 'Adventure', 'Family', 'Fantasy']",6+,98,18 March 2010,75.0,8.1,
В поисках Немо,"['Adventure', 'Comedy', 'Family']",0+,100,25 December 2003,90.0,8.1,
Конец Евангелиона,"['Anime', 'Action', 'Drama', 'Fantasy', 'Sci-Fi']",18+,87,2005,,8.1,
Навсикая из Долины ветров,"['Anime', 'Adventure', 'Fantasy', 'Sci-Fi']",12+,117,11 March 1984,86.0,8.1,
Зверополис,"['Adventure', 'Comedy', 'Crime', 'Family', 'Mystery']",6+,108,3 March 2016,78.0,8.0,
Сказание о принцессе Кагуя,"['Anime', 'Adventure', 'Drama', 'Family', 'Fantasy']",6+,137,23 November 2013,89.0,8.0,
Персеполис,"['Biography', 'Drama', 'Family', 'History', 'War']",PG-13,96,27 June 2007,90.0,8.0,
Рататуй,"['Adventure', 'Comedy', 'Family', 'Fantasy']",0+,111,28 June 2007,96.0,8.0,
Суперсемейка,"['Action', 'Adventure', 'Family']",12+,115,23 December 2004,90.0,8.0,
Корпорация монстров,"['Adventure', 'Comedy', 'Family', 'Fantasy']",6+,92,22 March 2002,79.0,8.0,
Истинная грусть,"['Anime', 'Crime', 'Mystery', 'Thriller']",R,81,28 February 1998,,8.0,
Стальной гигант,"['Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Sci-Fi']",0+,86,6 August 1999,85.0,8.0,
Призрак в доспехах,"['Anime', 'Action', 'Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']",,83,18 November 1995,76.0,8.0,
Кошмар перед Рождеством,"['Family', 'Fantasy', 'Musical']",12+,76,9 November 1995,82.0,8.0,
Аладдин,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",,90,2 April 1994,86.0,8.0,
Красавица и чудовище,"['Family', 'Fantasy', 'Musical', 'Romance']",6+,84,10 July 1993,95.0,8.0,
Акира,"['Anime', 'Drama', 'Sci-Fi', 'Thriller']",R,124,16 July 1988,,8.0,
Небесный замок Лапута,"['Anime', 'Adventure', 'Drama', 'Family', 'Fantasy', 'Sci-Fi']",12+,125,2 August 1986,78.0,8.0,
Остров собак,"['Anime', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Sci-Fi']",12+,101,3 May 2018,82.0,7.9,
Бесподобный мистер Фокс,"['Adventure', 'Comedy', 'Crime', 'Drama', 'Family']",12+,87,23 October 2009,83.0,7.9,
Ковбой Бибоп,"['Anime', 'Action', 'Crime', 'Drama', 'Sci-Fi', 'Thriller']",,115,1 September 2001,61.0,7.9,
История игрушек 2,"['Adventure', 'Comedy', 'Family', 'Fantasy']",6+,92,2 December 1999,88.0,7.9,
Шёпот сердца,"['Anime', 'Drama', 'Family', 'Music', 'Romance']",,111,15 July 1995,75.0,7.9,
Манускрипт ниндзя,"['Anime', 'Action', 'Adventure', 'Fantasy', 'Thriller']",,94,5 June 1993,,7.9,
Кубо. Легенда о самурае,"['Action', 'Adventure', 'Family', 'Fantasy']",6+,101,20 October 2016,84.0,7.8,
"Ван Гог. С любовью, Винсент","['Biography', 'Crime', 'Drama', 'Family', 'Mystery']",PG-13,94,22 September 2017,62.0,7.8,
Город героев,"['Action', 'Adventure', 'Family', 'Sci-Fi']",6+,102,25 October 2014,74.0,7.8,
Ветер крепчает,"['Anime', 'Biography', 'Drama', 'History', 'Romance', 'War']",12+,126,20 February 2014,83.0,7.8,
История игрушек 4,"['Adventure', 'Comedy', 'Family', 'Fantasy']",6+,100,20 June 2019,84.0,7.8,
Как приручить дракона 2,"['Action', 'Adventure', 'Family', 'Fantasy']",0+,102,12 June 2014,76.0,7.8,
"Девочка, покорившая время","['Anime', 'Adventure', 'Comedy', 'Drama', 'Family', 'Mystery', 'Romance', 'Sci-Fi']",,98,15 July 2006,,7.8,
Однажды в Токио,"['Anime', 'Adventure', 'Comedy', 'Drama']",16+,93,8 November 2003,73.0,7.8,
Трио из Бельвилля,"['Comedy', 'Drama']",12+,80,6 November 2003,91.0,7.8,
Пробуждение жизни,"['Drama', 'Fantasy']",16+,99,7 March 2002,82.0,7.8,
Шрек,"['Adventure', 'Comedy', 'Family', 'Fantasy']",6+,90,31 October 2001,84.0,7.8,
Бэтмэн: Маска фантазма,"['Action', 'Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']",PG,76,25 December 1993,,7.8,
Ведьмина служба доставки,"['Anime', 'Adventure', 'Drama', 'Family', 'Fantasy']",12+,103,29 July 1989,83.0,7.8,
Фантазия,"['Family', 'Fantasy', 'Music']",0+,125,25 December 1948,96.0,7.8,
Воспоминания о Марни,"['Anime', 'Drama', 'Family', 'Mystery']",PG,103,19 July 2014,72.0,7.7,
Ральф,"['Adventure', 'Comedy', 'Family', 'Fantasy']",6+,101,1 November 2012,72.0,7.7,
Маленький принц,"['Adventure', 'Drama', 'Family', 'Fantasy']",6+,108,24 December 2015,70.0,7.7,
Лего. Фильм,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']",6+,100,27 February 2014,83.0,7.7,
Рыбка Поньо на утёсе,"['Anime', 'Adventure', 'Comedy', 'Family', 'Fantasy']",6+,101,3 September 2009,86.0,7.7,
Паприка,"['Anime', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi', 'Thriller']",R,90,25 November 2006,81.0,7.7,
Рапунцель: Запутанная история,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",6+,100,25 November 2010,71.0,7.7,
Коралина в стране кошмаров,"['Drama', 'Family', 'Fantasy', 'Thriller']",12+,100,30 April 2009,80.0,7.7,
D: Жажда крови,"['Anime', 'Action', 'Fantasy', 'Horror', 'Sci-Fi']",16+,103,17 April 2001,62.0,7.7,
"Южный Парк: Большой, длинный, необрезанный","['Comedy', 'Fantasy', 'Musical']",18+,81,9 November 2000,73.0,7.7,
Порко Россо,"['Anime', 'Adventure', 'Comedy', 'Fantasy', 'Romance']",12+,94,27 July 1995,83.0,7.7,
Кто подставил кролика Роджера,"['Adventure', 'Comedy', 'Crime', 'Family', 'Fantasy', 'Mystery']",12+,104,22 June 1988,83.0,7.7,
Rupan sansei: Kariosutoro no shiro,"['Anime', 'Adventure', 'Family', 'Fantasy']",12+,100,15 December 1979,71.0,7.7,
Суперсемейка 2,"['Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']",6+,118,14 June 2018,80.0,7.6,
Моана,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",6+,107,1 December 2016,81.0,7.6,
Ариэтти из страны лилипутов,"['Anime', 'Adventure', 'Family', 'Fantasy']",0+,94,15 September 2011,80.0,7.6,
Гадкий я,"['Comedy', 'Family', 'Fantasy']",0+,95,8 July 2010,72.0,7.6,
5 сантиметров в секунду,"['Anime', 'Drama', 'Family', 'Romance']",12+,63,3 March 2007,,7.6,
Тайна Келлс,"['Adventure', 'Family', 'Fantasy']",0+,71,11 February 2009,81.0,7.6,
Мулан,"['Adventure', 'Family', 'Fantasy', 'Musical', 'War']",0+,88,25 December 1998,71.0,7.6,
Русалочка,"['Family', 'Fantasy', 'Musical', 'Romance']",0+,83,26 November 1998,88.0,7.6,
The Secret of NIMH,"['Adventure', 'Drama', 'Family', 'Fantasy', 'Sci-Fi', 'Thriller']",,82,16 July 1982,76.0,7.6,
Watership Down,"['Adventure', 'Drama', 'Thriller']",,91,13 December 1978,64.0,7.6,
The Many Adventures of Winnie the Pooh,"['Adventure', 'Comedy', 'Family', 'Musical']",,74,11 March 1977,,7.6,
Робин Гуд,"['Adventure', 'Comedy', 'Family', 'Romance']",,83,8 November 1973,,7.6,
Книга джунглей,"['Adventure', 'Family', 'Musical']",G,78,18 October 1967,65.0,7.6,
Белоснежка и семь гномов,"['Family', 'Fantasy', 'Musical', 'Romance']",0+,83,12 July 1955,95.0,7.6,
Вперёд,"['Adventure', 'Comedy', 'Family', 'Fantasy']",PG,102,5 March 2020,61.0,7.5,
Красная черепаха,"['Family', 'Fantasy']",PG,80,16 February 2017,86.0,7.5,
Сад изящных слов,"['Anime', 'Drama', 'Romance']",12+,46,31 May 2013,,7.5,
Как приручить дракона 3,"['Action', 'Adventure', 'Family', 'Fantasy']",6+,104,21 February 2019,71.0,7.5,
Летние войны,"['Anime', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Romance', 'Sci-Fi', 'Thriller']",12+,114,1 August 2009,63.0,7.5,
Иллюзионист,"['Drama', 'Family', 'Fantasy']",PG,90,16 June 2010,82.0,7.5,
Кунг-фу Панда,"['Action', 'Adventure', 'Comedy', 'Family']",0+,92,5 June 2008,74.0,7.5,
Призрак в доспехах 2: Невинность,"['Anime', 'Drama', 'Sci-Fi', 'Thriller']",PG-13,100,6 March 2004,66.0,7.5,
Ледниковый период,"['Adventure', 'Comedy', 'Family', 'Fantasy']",0+,81,22 August 2002,,7.5,
Холодное сердце,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",6+,102,12 December 2013,75.0,7.4,
Со склонов Кокурико,"['Anime', 'Drama', 'Family', 'Romance']",12+,91,18 October 2012,71.0,7.4,
Уоллес и Громит: Проклятие кролика-оборотня,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Horror', 'Mystery', 'Sci-Fi']",12+,85,27 October 2005,87.0,7.4,
Земля до начала времён,"['Adventure', 'Drama', 'Family']",0+,69,18 November 1988,66.0,7.4,
Алиса в Стране чудес,"['Adventure', 'Family', 'Fantasy', 'Musical']",0+,75,14 September 1951,68.0,7.4,
Пиноккио,"['Comedy', 'Family', 'Fantasy', 'Musical']",0+,88,23 February 1940,99.0,7.4,
Лего Фильм: Бэтмен,"['Action', 'Comedy', 'Family']",6+,104,9 February 2017,75.0,7.3,
Барашек Шон,"['Adventure', 'Comedy', 'Family', 'Fantasy']",PG,85,2 April 2015,81.0,7.3,
Аномализа,"['Comedy', 'Drama', 'Romance']",18+,90,11 March 2016,88.0,7.3,
В поисках Дори,"['Adventure', 'Comedy', 'Family']",6+,97,16 June 2016,77.0,7.3,
Книга жизни,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",6+,95,26 February 2015,67.0,7.3,
Гадкий я 2,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",0+,98,15 August 2013,62.0,7.3,
Университет монстров,"['Adventure', 'Comedy', 'Family', 'Fantasy']",6+,104,20 June 2013,65.0,7.3,
Хранители снов,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",0+,97,22 November 2012,,7.3,
Приключения Тинтина: Тайна Единорога,"['Action', 'Adventure', 'Family', 'Mystery']",12+,107,3 November 2011,68.0,7.3,
Симпсоны в кино,"['Adventure', 'Comedy']",12+,87,16 August 2007,80.0,7.3,
Труп невесты,"['Drama', 'Family', 'Fantasy', 'Musical', 'Romance']",12+,77,26 January 2006,83.0,7.3,
Похождения императора,"['Adventure', 'Comedy', 'Family', 'Fantasy']",0+,78,1 November 2001,70.0,7.3,
Тарзан,"['Adventure', 'Family', 'Romance']",6+,88,25 November 1999,79.0,7.3,
Геркулес,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",0+,93,2 June 2001,74.0,7.3,
The Transformers: The Movie,"['Action', 'Adventure', 'Family', 'Sci-Fi']",,84,8 August 1986,,7.3,
Лис и пёс,"['Adventure', 'Drama', 'Family']",0+,83,10 July 1981,65.0,7.3,
Леди и бродяга,"['Adventure', 'Comedy', 'Drama', 'Family', 'Romance']",0+,76,1969,78.0,7.3,
Питер Пэн,"['Adventure', 'Family', 'Fantasy', 'Musical']",G,77,5 February 1953,76.0,7.3,
Золушка,"['Family', 'Fantasy', 'Musical', 'Romance']",G,74,4 March 1950,85.0,7.3,
Бэмби,"['Drama', 'Family']",0+,70,17 May 1946,91.0,7.3,
Драконий жемчуг: Битва Богов,"['Anime', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",,85,30 March 2013,,7.2,
Кунг-фу Панда 2,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']",0+,90,26 May 2011,67.0,7.2,
Ранго,"['Adventure', 'Comedy', 'Family', 'Western']",0+,107,17 March 2011,75.0,7.2,
Мегамозг,"['Action', 'Comedy', 'Family', 'Sci-Fi']",0+,95,28 October 2010,63.0,7.2,
Семейка Крудс,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']",0+,98,21 March 2013,,7.2,
