Title Name,Genres,Rating,Duration,Aired,Metascore,IMDb,MyRate
Последняя фантазия 7: Дети пришествия,"['Action', 'Adventure', 'Drama', 'Family', 'Fantasy', 'Mystery', 'Sci-Fi', 'Thriller']",16+,101,14 September 2005,,7.2,
Boзвращение кота,"['Anime', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance']",0+,75,19 July 2002,70.0,7.2,
Шрек 2,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance']",6+,93,19 August 2004,75.0,7.2,
Лило и Стич,"['Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Sci-Fi']",0+,85,26 December 2002,73.0,7.2,
Планета сокровищ,"['Adventure', 'Family', 'Sci-Fi']",0+,95,20 March 2003,,7.2,
Фантазия 2000,"['Comedy', 'Family', 'Fantasy', 'Music']",,75,31 December 1999,,7.2,
Приключения Флика,"['Adventure', 'Comedy', 'Family']",0+,95,12 May 2001,77.0,7.2,
Анастасия,"['Adventure', 'Drama', 'Family', 'Fantasy', 'Musical', 'Mystery', 'Romance']",0+,94,13 March 1998,61.0,7.2,
Великий мышиный сыщик,"['Adventure', 'Family', 'Musical', 'Mystery']",0+,74,2 July 1986,73.0,7.2,
Меч в камне,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",,79,21 June 1964,61.0,7.2,
101 далматинeц,"['Adventure', 'Comedy', 'Family']",,79,25 January 1961,83.0,7.2,
Спящая красавица,"['Family', 'Fantasy', 'Musical', 'Romance']",12+,75,25 December 1959,85.0,7.2,
Дамбо,"['Drama', 'Family', 'Musical']",0+,64,31 October 1941,96.0,7.2,
Ральф против Интернета,"['Adventure', 'Comedy', 'Family', 'Fantasy']",12+,112,22 November 2018,71.0,7.1,
Зверопой,"['Comedy', 'Family', 'Musical']",6+,108,2 March 2017,,7.1,
Снупи и мелочь пузатая в кино,"['Comedy', 'Family']",0+,88,24 December 2015,67.0,7.1,
Кунг-фу Панда 3,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']",6+,95,28 January 2016,66.0,7.1,
Секретная служба Санта-Клауса,"['Adventure', 'Comedy', 'Family', 'Fantasy']",6+,97,8 December 2011,69.0,7.1,
Храбрая сердцем,"['Adventure', 'Comedy', 'Family', 'Fantasy']",6+,93,21 June 2012,69.0,7.1,
Монстры на каникулах,"['Comedy', 'Family', 'Fantasy']",6+,91,18 October 2012,,7.1,
Принцесса и лягушка,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",0+,97,1 January 2010,73.0,7.1,
Девять,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",12+,79,3 September 2009,,7.1,
Помутнение,"['Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']",R,100,28 July 2006,73.0,7.1,
Губка Боб - квадратные штаны,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']",0+,87,17 March 2005,66.0,7.1,
Тачки,"['Comedy', 'Family', 'Sport']",0+,117,15 June 2006,73.0,7.1,
Спирит: Душа прерий,"['Adventure', 'Drama', 'Family', 'Western']",0+,83,31 October 2002,,7.1,
Принц Египта,"['Adventure', 'Drama', 'Family', 'Fantasy', 'Musical']",0+,99,18 December 1998,64.0,7.1,
Балто,"['Adventure', 'Drama', 'Family', 'History']",,78,22 June 1998,,7.1,
Bedknobs and Broomsticks,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",,117,13 December 1971,,7.1,
Коты-аристократы,"['Adventure', 'Comedy', 'Family', 'Musical']",0+,78,24 December 1970,66.0,7.1,
"Паранорман, или Как приручить зомби","['Adventure', 'Comedy', 'Family', 'Fantasy', 'Mystery']",6+,92,23 August 2012,72.0,7.0,
Зачарованная,"['Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",PG,107,22 November 2007,75.0,7.0,
Побег из курятника,"['Adventure', 'Comedy', 'Drama', 'Family']",0+,84,22 March 2001,88.0,7.0,
Король Лев,"['Adventure', 'Drama', 'Family', 'Musical']",6+,118,18 July 2019,,6.9,
Холодное сердце 2,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",PG,103,28 November 2019,64.0,6.9,
Рио,"['Adventure', 'Comedy', 'Crime', 'Family', 'Musical']",0+,96,7 April 2011,63.0,6.9,
Легенды ночных стражей,"['Action', 'Adventure', 'Family', 'Fantasy', 'Mystery', 'Thriller', 'War']",0+,97,30 September 2010,,6.9,
Франкенвини,"['Comedy', 'Family', 'Horror', 'Sci-Fi']",12+,87,11 October 2012,74.0,6.9,
Ледниковый период 3: Эра динозавров,"['Adventure', 'Comedy', 'Family', 'Fantasy']",0+,94,1 July 2009,,6.9,
"Облачно, возможны осадки в виде фрикаделек","['Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",0+,90,22 October 2009,66.0,6.9,
Мадагаскар,"['Adventure', 'Comedy', 'Family']",0+,86,2 June 2005,,6.9,
Атлантида: Затерянный мир,"['Action', 'Adventure', 'Family', 'Fantasy', 'Sci-Fi']",12+,95,21 December 2001,,6.9,
Дорога на Эльдорадо,"['Adventure', 'Comedy', 'Family', 'Romance']",0+,89,31 March 2000,,6.9,
Горбун из Нотр-Дама,"['Drama', 'Family', 'Musical', 'Romance']",6+,91,21 June 1996,74.0,6.9,
The Rescuers Down Under,"['Adventure', 'Crime', 'Drama', 'Family', 'Fantasy', 'Mystery']",0+,77,9 July 1992,70.0,6.9,
Американская история,"['Adventure', 'Comedy', 'Drama', 'Family', 'Musical']",,80,3 October 1993,,6.9,
Спасатели,"['Adventure', 'Comedy', 'Family', 'Fantasy']",0+,78,22 June 1977,74.0,6.9,
Камуфляж и шпионаж,"['Adventure', 'Comedy', 'Family', 'Sci-Fi']",PG,102,9 January 2020,,6.8,
Аисты,"['Adventure', 'Comedy', 'Family', 'Fantasy']",6+,87,22 September 2016,,6.8,
Мадагаскар 3,"['Adventure', 'Comedy', 'Family']",0+,95,7 June 2012,,6.8,
Рождественская история,"['Drama', 'Family', 'Fantasy']",0+,96,19 November 2009,,6.8,
Приключения мистера Пибоди и Шермана,"['Adventure', 'Comedy', 'Family', 'Sci-Fi']",0+,92,6 March 2014,,6.8,
Семейка монстров,"['Adventure', 'Comedy', 'Family', 'Fantasy']",6+,96,25 September 2014,61.0,6.8,
Хортон,"['Adventure', 'Comedy', 'Family', 'Fantasy']",6+,86,13 March 2008,71.0,6.8,
Ледниковый период 2: Глобальное потепление,"['Adventure', 'Comedy', 'Family', 'Fantasy']",0+,91,30 March 2006,,6.8,
Вольт,"['Adventure', 'Comedy', 'Drama', 'Family']",0+,96,26 November 2008,67.0,6.8,
В гости к Робинсонам,"['Adventure', 'Comedy', 'Family', 'Sci-Fi']",0+,95,29 March 2007,61.0,6.8,
Братец медвежонок,"['Adventure', 'Comedy', 'Family', 'Fantasy']",0+,85,18 March 2004,,6.8,
Бивис и Батт-Хед уделывают Америку,"['Adventure', 'Comedy', 'Crime', 'Music']",14+,81,20 December 1996,64.0,6.8,
Каникулы Гуфи,"['Adventure', 'Comedy', 'Family', 'Musical', 'Romance']",,78,23 June 1996,,6.8,
Все псы попадают в рай,"['Comedy', 'Drama', 'Family', 'Fantasy', 'Musical']",6+,84,3 April 1996,,6.8,
Тачки 3,"['Adventure', 'Comedy', 'Family', 'Sport']",6+,102,15 June 2017,,6.7,
Фердинанд,"['Adventure', 'Comedy', 'Family', 'Fantasy']",6+,108,21 December 2017,,6.7,
Монстры на каникулах 2,"['Comedy', 'Family', 'Fantasy']",6+,89,22 October 2015,,6.7,
Хороший динозавр,"['Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']",12+,93,26 November 2015,66.0,6.7,
Пингвины Мадагаскара,"['Adventure', 'Comedy', 'Family', 'Sci-Fi']",0+,92,27 November 2014,,6.7,
Пираты! Банда неудачников,"['Adventure', 'Comedy', 'Family']",0+,88,26 April 2012,73.0,6.7,
Эпик,"['Adventure', 'Family', 'Fantasy', 'Mystery', 'Thriller']",6+,102,30 May 2013,,6.7,
Лови волну,"['Comedy', 'Family', 'Sport']",0+,85,7 June 2007,64.0,6.7,
Лесная братва,"['Adventure', 'Comedy', 'Family', 'Fantasy']",12+,83,26 May 2006,67.0,6.7,
Синдбад: Легенда семи морей,"['Adventure', 'Family', 'Fantasy']",12+,86,21 August 2003,,6.7,
Джеймс и гигантский персик,"['Adventure', 'Family', 'Fantasy', 'Musical']",12+,79,4 June 2004,78.0,6.7,
Покахонтас,"['Adventure', 'Drama', 'Family', 'Musical', 'Romance']",12+,81,23 June 1995,,6.7,
Оливер и компания,"['Adventure', 'Comedy', 'Family', 'Musical']",0+,74,18 November 1988,,6.7,
Тяжелый метал,"['Adventure', 'Fantasy', 'Sci-Fi']",,86,7 August 1981,,6.7,
Смолфут,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",6+,96,25 October 2018,,6.6,
ЛЕГО Фильм 2,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",6+,107,7 February 2019,65.0,6.6,
Дом,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",6+,94,19 March 2015,,6.6,
Ледниковый период 4: Континентальный дрейф,"['Adventure', 'Comedy', 'Family', 'Fantasy']",0+,88,28 June 2012,,6.6,
Мадагаскар 2,"['Adventure', 'Comedy', 'Family']",0+,89,30 October 2008,61.0,6.6,
Кот в Сапогах,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Mystery']",0+,90,27 October 2011,65.0,6.6,
Смывайся!,"['Adventure', 'Comedy', 'Family', 'Fantasy']",0+,85,2 November 2006,74.0,6.6,
Дом-монстр,"['Comedy', 'Family', 'Fantasy', 'Mystery']",12+,91,10 August 2006,68.0,6.6,
Полярный экспресс,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",6+,100,23 December 2004,61.0,6.6,
Титан: После гибели Земли,"['Action', 'Adventure', 'Family', 'Sci-Fi']",PG,94,24 August 2000,,6.6,
Тайная жизнь домашних животных 2,"['Adventure', 'Comedy', 'Family']",6+,86,30 May 2019,,6.5,
Тайная жизнь домашних животных,"['Adventure', 'Comedy', 'Family']",6+,87,18 August 2016,61.0,6.5,
Тролли,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",6+,92,27 October 2016,,6.5,
Обитель зла: Вырождение,"['Action', 'Horror', 'Sci-Fi', 'Thriller']",R,97,18 October 2008,,6.5,
Динозавр,"['Adventure', 'Family', 'Thriller']",12+,82,15 June 2000,,6.5,
Муравей Антц,"['Adventure', 'Comedy', 'Family']",PG,83,1 January 1999,72.0,6.5,
Долина папоротников: Последний тропический лес,"['Adventure', 'Family', 'Fantasy']",,76,20 June 1999,67.0,6.5,
Бэтмен: Убийственная шутка,"['Action', 'Crime', 'Drama', 'Thriller']",R,76,25 July 2016,,6.4,
Миньоны,"['Adventure', 'Comedy', 'Family', 'Sci-Fi']",6+,91,9 July 2015,,6.4,
Облачно... 2: Месть ГМО,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",0+,95,24 October 2013,,6.4,
Турбо,"['Adventure', 'Comedy', 'Family', 'Sci-Fi', 'Sport']",6+,96,18 July 2013,,6.4,
Лоракс,"['Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Musical']",0+,86,15 March 2012,,6.4,
Монстры против пришельцев,"['Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi', 'Thriller']",12+,94,19 March 2009,,6.4,
Сказания Земноморья,"['Anime', 'Adventure', 'Fantasy']",PG-13,115,29 July 2006,,6.4,
Правдивая история Красной Шапки,"['Comedy', 'Crime', 'Family', 'Musical', 'Mystery']",12+,80,2 March 2006,,6.4,
Делай ноги,"['Adventure', 'Comedy', 'Family', 'Music', 'Musical', 'Romance']",12+,108,21 December 2006,77.0,6.4,
Последняя фантазия,"['Action', 'Adventure', 'Fantasy', 'Romance', 'Sci-Fi']",12+,106,1 November 2001,,6.4,
Космический джем,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi', 'Sport']",6+,88,9 June 1999,,6.4,
Черный котел,"['Action', 'Adventure', 'Family', 'Fantasy']",12+,80,24 July 1985,,6.4,
Монстры на каникулах 3: Море зовёт,"['Adventure', 'Comedy', 'Family', 'Fantasy']",6+,97,12 July 2018,,6.3,
Босс-молокосос,"['Adventure', 'Comedy', 'Family', 'Fantasy']",6+,97,23 March 2017,,6.3,
Гадкий я 3,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",6+,89,29 June 2017,,6.3,
Гринч,"['Comedy', 'Family', 'Fantasy']",6+,85,13 December 2018,,6.3,
Рио 2,"['Adventure', 'Comedy', 'Family', 'Musical']",0+,101,20 March 2014,,6.3,
Angry Birds в кино,"['Action', 'Adventure', 'Comedy', 'Family']",6+,97,12 May 2016,,6.3,
Шрэк навсегда,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance']",6+,93,20 May 2010,,6.3,
Астробой,"['Action', 'Comedy', 'Family', 'Sci-Fi']",12+,94,22 October 2009,,6.3,
Роботы,"['Adventure', 'Comedy', 'Family', 'Sci-Fi']",6+,91,17 March 2005,64.0,6.3,
Покемон: Мьюту против Мью,"['Anime', 'Action', 'Adventure', 'Family', 'Fantasy', 'Sci-Fi', 'Sport']",0+,96,18 July 1998,,6.3,
Осмосис Джонс,"['Action', 'Adventure', 'Comedy', 'Crime', 'Family', 'Fantasy', 'Sci-Fi']",PG,95,31 December 2002,,6.3,
Черепaшки-ниндзя,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",PG,87,22 March 2007,,6.2,
Беовульф,"['Action', 'Adventure', 'Fantasy']",PG-13,115,22 November 2007,,6.2,
Bлaстелин колец,"['Adventure', 'Fantasy']",,132,15 November 1978,,6.2,
Полный расколбас,"['Adventure', 'Comedy', 'Fantasy']",18+,89,8 September 2016,66.0,6.1,
Тачки 2,"['Adventure', 'Comedy', 'Family', 'Sport']",6+,106,23 June 2011,,6.1,
Приключения Десперо,"['Adventure', 'Comedy', 'Family', 'Fantasy']",0+,93,25 December 2008,,6.1,
Шрэк Третий,"['Adventure', 'Comedy', 'Family', 'Fantasy']",6+,93,17 May 2007,,6.1,
Сезон охоты,"['Adventure', 'Comedy', 'Family', 'Fantasy']",12+,86,26 October 2006,,6.1,
Би Муви: Медовый заговор,"['Adventure', 'Comedy', 'Family']",PG,91,1 November 2007,,6.1,
Губка Боб в 3D,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",6+,92,12 February 2015,62.0,6.0,
Планета 51,"['Adventure', 'Comedy', 'Family', 'Sci-Fi']",12+,91,19 November 2009,,6.0,
